"Subject","Subject code","Catalog Number","Long Course Title","Description","Units - Units - Units","Units - Repeat for Credit","Course Attributes","Instructional Components"
"ACCT - Accounting","ACCT","423","Advanced Taxation","Focuses on tax planning. Extends the material covered in the introductory tax course with an examination of specialized topics in personal and corporate income tax. Topics include detailed review of taxation of corporations, income trusts, partnerships, business reorganization, amalgamations, winding-up of businesses, sale of an incorporated business, tax consequences of leaving Canada and death of a taxpayer.

Prerequisite(s): Admission to the Haskayne School of Business and Accounting 421.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","425","Auditing","A conceptual study of audit evidence, basic audit techniques, professional ethics, audit reports.

Prerequisite(s): Admission to the Haskayne School of Business and 54 units including Accounting 341.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","443","Advanced Financial Accounting","Topics include accounting for business combinations and intercorporate investments, foreign currency transactions and translation, bankruptcy, partnerships, and not-for-profit organizations.

Prerequisite(s): Admission to the Haskayne School of Business and 54 units including Accounting 343.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","445","Accounting Theory","Examines the origins of financial accounting and current theories on the use of financial accounting information by investors, regulators, standard setters, and other corporate stakeholders.

Prerequisite(s): Admission to the Haskayne School of Business and 54 units including Accounting 343.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","465","Managerial Control Systems","Case approach to Management Control Systems explaining the use of accounting data from a managerial perspective. Emphasis is placed on how managers use planning and control to accomplish a firm's strategies.

Prerequisite(s): Admission to the Haskayne School of Business and 54 units including Accounting 361.","3","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","559","Selected Topics in Accounting","Investigation of selected topics in Accounting.

Prerequisite(s): Admission to the Haskayne School of Business and 54 units including Accounting 343. For certain topics, consent of the Haskayne School of Business will also be required.

Notes: For more information on topics and prerequisite requirements, see Class Notes in the Course Search.

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -B, GFC Hours (3-0), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","601","Introductory Financial Accounting","Introduction to accounting for business organizations. Reporting of financial results of operations and financial position to investors, managers, and others. Emphasis on the use of accounting information for decision-making.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","603","Management Accounting","Break even analysis, activity-based costing and management, budgeting, productivity measures, and other tools and techniques that are part of a planning and control system that will help the manager make better economic decisions.

Prerequisite(s): Accounting 601.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","621","Taxation","Discusses the core concepts, regulations, and interpretations underlying the Canadian individual and corporate income taxation. Emphasis is on who is taxable, on what income, when and how tax is calculated. Tax planning opportunities will be identified by using long-term and clientele-based techniques.

Prerequisite(s): Accounting 601.

Also known as: (formerly Accounting 721)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","623","Advanced Taxation I","Focuses on tax planning. It extends the material covered in the introductory tax course with an examination of specialized topics in personal and corporate income tax.

Prerequisite(s): Accounting 621 or 721.

Also known as: (formerly Accounting 723)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","641","Intermediate Financial Accounting I","Provides detailed coverage of the Generally Accepted Accounting Principles (GAAP) primarily related to assets. Emphasizes the theory behind the methods, the strengths and weaknesses of such methods and the need for sound professional judgement.

Prerequisite(s): Accounting 601 and 603; or consent of the Haskayne School of Business.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","642","Financial Statement Analysis","Covers the theories, concepts and practices of financial statement analysis with an emphasis placed on applications.

Prerequisite(s): Accounting 601.

Also known as: (formerly Accounting 741)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","643","Intermediate Financial Accounting II","Builds on Intermediate Financial Accounting I with coverage of the Generally Accepted Accounting Principles (GAAP) primarily related to liabilities and owners' equity. Emphasizes the theory behind the methods, the strengths and weaknesses of methods and the need for sound professional judgment.

Prerequisite(s): Accounting 641.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","644","Advanced Financial Accounting","Focuses on advanced accounting methods related to inter-corporate investments and financial reporting. Topics include accounting for business combinations and inter-corporate investments, foreign currency transactions and translation, bankruptcy, partnerships, and not-for-profit organizations.

Prerequisite(s): Accounting 643.

Also known as: (formerly Accounting 743)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","645","Accounting Theory","Examines the conceptual framework underlying the preparation of financial accounting information, and the theories and propositions on the use of such information by investors, regulators, standard setters, and other corporate stakeholders.

Prerequisite(s): Accounting 643.

Also known as: (formerly Accounting 745)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","646","Integrative Accounting I","Integrated application of the technical CPA competencies relating to financial reporting, audit, finance, taxation, and performance management within case scenarios that provide a rich professional context.

Prerequisite(s): Admission to Master of Business Administration and Accounting 443 or 644.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","647","Advanced Taxation II","Further development of taxation competency by focusing on tax compliance and planning issues for individuals, corporations, trusts and partnerships within case scenarios, which focus on tax implications of business decisions.

Prerequisite(s): Admission to Master of Business Administration and Accounting 423 or 623.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","661","Cost Accounting","Provides intermediate level discussions to the production and analysis of costs used for pricing, production and investment decisions, revenue analysis, performance evaluation, management incentive systems and strategy analysis.

Prerequisite(s): Accounting 603.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","665","Managerial Control Systems","Emphasis is placed on how managers use planning and control to accomplish a firm's strategies. Uses a case approach to management control systems explaining the usefulness of accounting data from a managerial perspective.

Prerequisite(s): Accounting 661.

Also known as: (formerly Accounting 765)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","666","Auditing","Discusses the techniques and theory behind the external auditor's provision of assurance services on financial information. Topics include: the demand for assurance, the role of auditors in providing assurance, auditor independence, audit reports, and audit liability.

Prerequisite(s): Accounting 641.

Also known as: (formerly Accounting 725)","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","667","Advanced Auditing","Further development of assurance competencies necessary to perform internal audit projects and external assurance engagements, including assessing needs, developing and performing procedures, and documenting and reporting results for realistic case scenarios.

Prerequisite(s): Admission to Master of Business Administration and Accounting 425 or 666.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","668","Integrative Accounting II","Integrated application of the CPA competencies of strategy, governance in management accounting within case scenarios that demonstrate how to build control systems and perform financial analysis for different entities.

Prerequisite(s): Admission to Master of Business Administration and Accounting 465 or 665.","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","669","Seminar in Accounting","Development of and solutions to current issues and problems in accounting.

Prerequisite(s): Accounting 603 or consent of the Haskayne School of Business.

Also known as: (formerly Accounting 789)

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3S-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3S-0 ((3S-0))","Seminar"
"ACCT - Accounting","ACCT","672","Financial Accounting Concepts","Introduction to accounting for business organizations emphasizing the use and analysis of financial statements for decision-making purposes.

Prerequisite(s): Admission to the Master of Management (MMgmt) Program.","1.5","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -F, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - F (Fee Rate Group(Int'l) - F), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","674","Managerial Accounting Concepts","Introduction to the use of accounting within an organizational context.  Emphasis is placed on the development and dissemination of accounting information necessary for effective management.

Prerequisite(s): Admission to the Master of Management (MMgmt) Program.","1.5","No","Fee Rate Group(Domestic) - E, Fee Rate Group(International) -F, GFC Hours (3-1T), FRGD - E (Fee Rate Group(Domestic) - E), FRGI - F (Fee Rate Group(Int'l) - F), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACCT - Accounting","ACCT","797","Advanced Seminar in Accounting","Advanced accounting research topics.

Prerequisite(s): Consent of the Haskayne School of Business.

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3S-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3S-0 ((3S-0))","Seminar"
"ACCT - Accounting","ACCT","799.01","Seminar In Financial Accounting","No description available","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","799.02","Seminar In Managerial Accounting","No description available","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3-0 ((3-0))","Lecture"
"ACCT - Accounting","ACCT","799.04","Seminar In Taxation","No description available","3","No","Fee Rate Group(Domestic) - F, Fee Rate Group(International) -E, GFC Hours (3S-0), FRGD - F (Fee Rate Group(Domestic) - F), FRGI - E (Fee Rate Group(Int'l) - E), GFCH - 3S-0 ((3S-0))","Seminar"
"ACSC - Actuarial Science","ACSC","325","Theory of Interest/Mathematics of Finance","Measurement of interest, elementary annuities, general annuities, amortization schedules and sinking funds, bonds and other securities.

Prerequisite(s): One of Mathematics 249, 265 or 275.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACSC - Actuarial Science","ACSC","327","Life Contingencies I","The survival function, force of mortality, life tables, analytical laws of mortality, life insurance, continuous and discrete life annuities, recursion equations. Introduction to benefit premiums and/or insurance and annuity models with interest as a random variable as time permits.

Prerequisite(s): Statistics 321.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACSC - Actuarial Science","ACSC","425","Intermediate Finance and Investment","Mean-variance portfolio theory, asset pricing models, market efficiency and behavioral finance, investment risk and project analysis, capital structure.

Prerequisite(s): Actuarial Science 325 and Statistics 323.

Antirequisite(s): Credit for Actuarial Science 425 and Finance 317 will not be allowed without consent of the Department.

Notes: Students with credit for Finance 317 but requiring Actuarial Science 425 for VEE credit from the Society of Actuaries should consult with the Department. ","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ACSC - Actuarial Science","ACSC","427","Life Contingencies II","Benefit premiums, premium principles, fully continuous and fully discrete premiums. Benefit reserves and their analysis. Insurance models including expenses. Multiple-state models.

Prerequisite(s): Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311, 367 or 375.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","437","Actuarial Models","Basic distributional quantities; characteristics of actuarial models; continuous models; Basic and advanced discrete distributions; frequency and severity with coverage modifications (deductibles, policy limits, coinsurance); aggregate loss models.

Prerequisite(s): Statistics 323.

Also known as: (formerly Statistics 437)","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","511","(ACSC 611) Generalized Linear Models for Actuaries","Description of insurance data, response distributions, exponential family responses and estimation, GLMs, models for count data, categorical and continuous responses. Applications include: personal injury insurance, vehicle insurance, diabetes deaths, third party claims, and degree of vehicle crash. Software for fitting GLMs will be discussed.

Prerequisite(s): Statistics 323.

Antirequisite(s): Credit for Actuarial Science 511 and 611 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","513","Fundamentals of Actuarial Practice","An introduction to the foundations of actuarial science including the history and development of insurance, the actuarial profession, and the professional societies. Standards of practice and codes of ethics and conduct. An examination of the contexts and environments (including the legal, political, and societal) in which actuarial work takes place. Foundational skills required by actuaries, with an emphasis on communication.

Prerequisite(s): Actuarial Science 327 and Statistics 321.

Antirequisite(s): Credit for Actuarial Science 513 and 539.02 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","515","Models for Financial Economics","Survey of financial derivatives, valuation of derivatives using binomial trees, Black-Scholes-Merton equation, dynamic hedging, Brownian motion and Ito's Lemma.

Prerequisite(s): Actuarial Science 325 and Statistics 321.

Antirequisite(s): Credit for Actuarial Science 515 and 539.04 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","517","Estimating Unpaid Claims in General Insurance","Data collection, adjusting premiums, trending losses, development triangles, expected method, frequency-severity method, Bornhuetter Ferguson method, Benktander method, Cape Cod method, impact of changing conditions on projection method.

Prerequisite(s): Actuarial Science 327.

Antirequisite(s): Credit for Actuarial Science 517 and 539.06 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","519","Quantitative Financial Risk Management","Risk measures, correlations and copulas, various approaches to modeling market and credit risk, liquidity risk, enterprise risk management.

Prerequisite(s): Actuarial Science 327.

Antirequisite(s): Credit for Actuarial Science 519 and 539.01 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","527","Life Contingencies III","Multiple life functions, dependent and independent models, related annuities and insurances. Multiple decrement models: time until and causes of death. Associated single decrement tables. Applications of multiple decrement theory. Asset shares. Business and regulatory considerations.

Prerequisite(s): Actuarial Science 327; Statistics 323; 3 units from Mathematics 311, 367 or 375; and 3 units from Computer Science 217, 231, 235 or Data Science 211.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","531","Loss Distributions and Their Estimations","Review of mathematical statistics; estimation based on complete and modified data; frequentist estimation; Bayesian estimation; simulation in actuarial modelling; model selection.

Prerequisite(s): Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311, 367 or 375.

Antirequisite(s): Credit for Actuarial Science 531 and 533 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","535","Mathematics of Demography","Conventional and adjusted measures of mortality; measures of fertility; measures of morbidity; North American demographic characteristics and trends; evaluation of demographic data; projections for stable and stationary populations; actuarial applications of demographic characteristics and trends.

Prerequisite(s): Actuarial Science 327 and Statistics 323.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ACSC - Actuarial Science","ACSC","537","Credibility Theory","Limited fluctuation credibility; full and partial credibility; greatest accuracy credibility; Bayesian methodology; credibility premium; Buhlmann model; Buhlmann-Straub model; empirical Bayes method; bonus-malus system.

Prerequisite(s): Actuarial Science 327; Statistics 323; and 3 units from Mathematics 311, 367 or 375.

Antirequisite(s): Credit for Actuarial Science 537 and either 533 or 637 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
